<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
????-?,14010510,783.81,784,774,777.05,241134036,221551080461.00,4687,771
????-?,14010511,774.51,791,772,778.74,252398895,232455085238.00,5039,777
????-?,14010512,779.59,791,777,781.28,291561703,269316927240.00,5543,779
????-?,14010515,782.97,816,783,801.57,499514650,473645432776.00,9329,781
????-?,14010518,799.88,804,793,797.34,286635052,270235037554.00,6049,802
????-?,14010519,793.11,799,783,788.04,478843788,446427670924.00,5959,797
????-?,14010522,794.81,827,794,824.40,1598694997,1558339513995.00,19518,788
????-?,14010523,832.01,833,806,817.64,574940896,556040633570.00,9931,824
????-?,14010524,815.94,836,808,824.40,366965702,357767154712.00,7326,818
????-?,14010525,830.32,835,816,822.71,524888241,510672705540.00,7656,824
????-?,14010526,822.71,826,813,815.94,320642223,309270031476.00,5566,823
????-?,14010529,812.56,813,803,808.33,355379040,339794509261.00,6331,816
????-?,14010530,808.33,817,803,805.80,367971819,350843465737.00,5788,808
????-?,14010531,804.11,813,804,809.18,277009654,265119725352.00,5022,806
????-?,14010601,814.25,824,805,816.79,294930979,284983768042.00,5643,809
????-?,14010602,820.17,835,813,826.09,350441503,342211361421.00,7255,817
????-?,14010605,822.71,837,821,829.47,507974735,498279080834.00,8956,826
????-?,14010606,827.78,830,819,826.09,306195699,299169926564.00,4835,829
????-?,14010607,826.94,831,822,827.78,296776322,290466668162.00,5336,826
????-?,14010608,825.24,831,822,826.94,350324155,342734040082.00,5264,828
????-?,14010609,827.78,829,820,823.55,232610950,226536084786.00,4335,827
????-?,14010612,820.17,824,805,811.72,357981212,343677675961.00,5844,824
????-?,14010613,807.49,819,807,814.25,201315747,193808235508.00,4226,812
????-?,14010614,815.94,817,810,812.56,254637650,244786736439.00,4484,814
????-?,14010615,810.03,810,803,804.95,191662726,182405929544.00,4476,813
????-?,14010616,806.64,807,791,799.03,284265933,268639271498.00,5566,805
????-?,14010619,791.42,794,785,788.04,446079301,415705282146.00,6532,799
????-?,14010620,788.04,789,784,786.35,293178072,272551228856.00,5360,788
????-?,14010621,786.35,795,780,784.66,566250823,525760782742.00,7058,786
????-?,14010622,786.35,795,782,786.35,264736229,246184161134.00,5343,785
????-?,14010623,786.35,795,784,788.04,294457440,274344684091.00,4926,786
????-?,14010627,782.12,786,775,777.89,334276478,307689386017.00,6546,788
