<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
??????-?,14010510,4926.58,5073,4800,5043.88,5403960,27857693120.00,466,4790
??????-?,14010511,5180.73,5181,4887,5024.33,2506540,12874601800.00,333,5044
??????-?,14010512,5024.33,5151,4946,5024.33,1493040,7679064980.00,237,5024
??????-?,14010515,5024.33,5142,4907,5043.88,2457967,12677975990.00,254,5024
??????-?,14010518,4828.83,5132,4829,4946.13,2244239,11354227180.00,231,5044
??????-?,14010519,4887.48,4985,4702,4828.83,2569527,12695180990.00,300,4946
??????-?,14010522,4955.91,5063,4858,4975.46,2123576,10809431347.00,276,4829
??????-?,14010523,4985.23,4985,4848,4895.30,2091575,10474512170.00,241,4975
??????-?,14010524,4897.26,4965,4848,4890.41,2360223,11807027730.00,293,4895
??????-?,14010525,4897.26,4995,4839,4935.38,3897411,19678035341.00,414,4890
??????-?,14010526,4994.03,5231,4985,5151.41,4351891,22934385879.00,632,4935
??????-?,14010529,5405.56,5415,4985,5170.96,4851044,25644434960.00,588,5151
??????-?,14010530,5210.06,5210,4946,5004.78,3402201,17404977200.00,425,5171
??????-?,14010531,5102.53,5278,5005,5092.76,2946825,15356460120.00,341,5005
??????-?,14010601,5170.96,5269,5103,5170.96,1301645,6879366740.00,240,5093
??????-?,14010602,5327.36,5366,5191,5307.81,2554535,13862432650.00,446,5171
??????-?,14010605,5288.26,5523,5278,5376.23,4362515,23990871810.00,497,5308
??????-?,14010606,5434.88,5435,5181,5258.93,2262311,12181076490.00,343,5376
??????-?,14010607,5366.46,5425,5288,5346.91,1690771,9256420890.00,277,5259
??????-?,14010608,5346.91,5376,5239,5278.48,1713582,9255451750.00,263,5347
??????-?,14010609,5405.56,5640,5288,5581.50,11629599,66382326780.00,1166,5278
??????-?,14010612,5659.70,5767,5435,5620.60,5560568,31974182060.00,848,5582
??????-?,14010613,5718.35,5718,5259,5425.11,6406298,35530709050.00,869,5621
??????-?,14010614,5708.58,5797,5523,5757.45,10742964,63227412350.00,1172,5425
??????-?,14010615,5972.50,5973,5650,5767.23,5973529,35267037300.00,909,5757
??????-?,14010616,5718.35,5806,5582,5669.48,3010380,17474301910.00,533,5767
??????-?,14010619,5630.38,5748,5415,5493.53,3698943,20779608670.00,496,5669
??????-?,14010620,5464.21,5816,5425,5689.03,3726417,21671954120.00,514,5494
??????-?,14010621,5669.48,5718,5425,5513.08,2011685,11345720080.00,416,5689
??????-?,14010622,5454.43,5640,5445,5522.86,2101344,11865964930.00,327,5513
